pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,yards_per_carry,rush_td_rate,reception_rate,yards_from_scrimmage,rush_yards_flag,rec_yards_flag
MathRy00,ryan-mathews-1,00-0027864,Ryan Mathews,RB,2010,1,12,SDG,fresno st.,72.0,218.0,4.37,36.0,121.0,19.0,7.0,4.33,0.0,1.0,0.0,0.0,0.0,534.0,3280.0,39.0,19.0,268.0,2.0,44.0,37.0,86.0,1,0,5,False,skill_run,False,False,False,False,91.78,1,0,True,119.5530723552624,78.5,5.665,29.562885802469136,0.601181341934206,-0.10858515914558418,-1.3773286795808175,0.46493005935345266,0.41286779082533265,-0.2902702310474341,-0.3459575489851471,0.3906954970810258,1.7583834685835313,0.4798759806377695,-0.06068071393381172,-0.6215047865612893,6.142322097378277,0.07303370786516854,0.035580524344569285,3548.0,False,False
AbduAm00,ameer-abdullah-1,00-0032104,Ameer Abdullah,RB,2015,2,54,DET,nebraska,69.0,205.0,4.6,42.5,130.0,24.0,6.79,3.95,0.0,1.0,0.0,0.0,0.0,813.0,4588.0,39.0,73.0,690.0,7.0,22.0,10.0,154.0,0,0,2,False,skill_run,False,False,False,False,63.63,0,0,True,91.56985573950925,86.25,5.37,30.269901281243435,-1.0457168412517501,-0.8446644484206813,0.32245283122635104,2.473350668813847,1.8925733464932215,0.7163120217783461,-1.1885510219489692,-1.9555794114149971,-1.1016618351408964,2.311509952511689,-1.6331440773637875,-0.2457022612797905,5.64329643296433,0.04797047970479705,0.0897908979089791,5278.0,False,False
WhitJa02,james-white-2,00-0031062,James White,RB,2014,4,130,NWE,wisconsin,69.0,204.0,4.57,32.0,114.0,23.0,7.05,4.2,1.0,2.0,3.0,1.0,0.0,643.0,4015.0,45.0,73.0,670.0,3.0,37.0,37.0,95.0,0,0,0,False,skill_run,False,False,False,False,25.77,0,0,True,93.53956863848397,73.0,5.625,30.12224322621298,-1.0457168412517501,-0.9012859322110734,0.10074219938194207,-0.7710210849298668,-0.7380143080274698,0.5149955712131901,-0.145340055422333,-0.4119774979307711,-0.9003458748010578,-0.819993289724367,-0.27389608524635106,-0.3241874877345194,6.244167962674961,0.06998444790046657,0.11353032659409021,4685.0,False,False
HardMo00,montario-hardesty-1,00-0027666,Montario Hardesty,RB,2010,2,59,CLE,tennessee,72.0,225.0,4.49,41.0,124.0,21.0,6.87,4.14,0.0,1.0,0.0,0.0,0.0,560.0,2391.0,26.0,38.0,405.0,1.0,4.0,4.0,23.0,0,0,0,False,skill_run,False,False,False,False,60.63,0,0,True,110.72027346395055,82.5,5.505,30.51215277777778,0.601181341934206,0.2877652273871604,-0.4904861522031618,2.009868989707602,0.9061029760479623,0.11236267008287798,-0.8675630322484652,-0.7824419571669884,0.8556207399550634,1.4252354499920505,-0.9135421991839691,-0.11693743662749875,4.269642857142857,0.04642857142857143,0.06785714285714285,2796.0,False,False
GerhTo00,toby-gerhart-1,00-0027888,Toby Gerhart,RB,2010,2,51,MIN,stanford,72.0,231.0,4.5,38.0,118.0,22.0,6.94,4.25,1.0,1.0,18.0,1.0,0.0,671.0,3522.0,43.0,39.0,395.0,0.0,16.0,13.0,82.0,0,0,0,False,skill_run,False,False,False,False,65.47,0,0,True,112.665752171925,78.0,5.595000000000001,31.325810185185187,0.601181341934206,0.6274941301295129,-0.4165826082550254,1.0829056314951124,-0.08036739439729697,0.313679120648034,-0.5866985412605233,-0.10325711523392699,1.0544598269207082,0.36170604696848435,-0.433807613730752,0.31554886331575055,5.248882265275708,0.06408345752608048,0.05812220566318927,3917.0,False,False
VereSh00,shane-vereen-1,00-0027994,Shane Vereen,RB,2011,2,56,NWE,california,70.0,210.0,4.49,34.0,115.0,31.0,6.95,4.28,0.0,3.0,0.0,0.0,0.0,556.0,2834.0,29.0,74.0,674.0,6.0,25.0,16.0,79.0,0,0,1,False,skill_run,False,False,False,False,62.42,0,0,True,103.33892189968718,74.5,5.615,30.12857142857143,-0.49675078018976476,-0.5615570294687209,-0.4904861522031618,-0.15304551278820702,-0.5736025796199266,2.1255271757344385,-0.5465750425479612,0.08197511438418166,0.10120425644666028,-0.4654834887165116,-0.32719992807448467,-0.3208238351721729,5.097122302158273,0.052158273381294966,0.13309352517985612,3508.0,False,False
BallMo00,montee-ball-1,00-0030522,Montee Ball,RB,2013,2,58,DEN,wisconsin,70.0,214.0,4.66,32.0,118.0,15.0,6.88,4.4,2.0,2.0,57.0,1.0,0.0,924.0,5140.0,77.0,59.0,598.0,6.0,7.0,7.0,21.0,0,0,0,False,skill_run,False,False,False,False,61.22,0,0,True,90.76117345343056,75.0,5.640000000000001,30.702448979591836,-0.49675078018976476,-0.33507109430715254,0.7658740949151822,-0.7710210849298668,-0.08036739439729697,-1.0955360333080582,-0.827439533535903,0.8229040328566108,-1.1843138049363369,-0.34731355504722644,-0.19394032100414585,-0.01578859994689505,5.562770562770563,0.08333333333333333,0.06385281385281386,5738.0,False,False
SimsCh00,charles-sims-1,00-0031390,Charles Sims,RB,2014,3,69,TAM,west virginia,72.0,214.0,4.48,37.5,126.0,17.0,7.16,4.3,0.0,1.0,0.0,0.0,0.0,592.0,3465.0,40.0,203.0,2108.0,11.0,13.0,13.0,47.0,0,0,0,False,skill_run,False,False,False,False,54.83,0,0,True,106.2506787333077,81.75,5.73,29.020447530864196,0.601181341934206,-0.33507109430715254,-0.5643896961512981,0.9284117384596975,1.2349264328630487,-0.6929031321777461,0.2960184304158609,0.20546326746291713,0.39880251228461694,1.2479805494881229,0.28579426444906647,-0.9098289865234561,5.85304054054054,0.06756756756756757,0.34290540540540543,5573.0,False,False
FreeRo00,royce-freeman-1,00-0034838,Royce Freeman,RB,2018,3,71,DEN,oregon,71.0,229.0,4.54,34.0,118.0,17.0,6.9,4.16,1.0,1.0,26.0,1.0,0.0,947.0,5621.0,60.0,79.0,814.0,4.0,13.0,9.0,79.0,0,0,0,False,skill_run,False,False,False,False,53.7,0,0,True,107.80578507128922,76.0,5.53,31.93552866494743,0.05221528087222063,0.5142511625487288,-0.12096843246247352,-0.15304551278820702,-0.08036739439729697,-0.6929031321777461,-0.7471925361107753,-0.6589538040882474,0.5577433031096554,-0.11097368770865619,-0.7802825921136302,0.6396347585816928,5.93558606124604,0.06335797254487856,0.08342133051742344,6435.0,False,False
BellLe00,leveon-bell-1,00-0030496,Le'Veon Bell,RB,2013,2,48,PIT,michigan st.,73.0,230.0,4.6,31.5,118.0,24.0,6.75,4.24,1.0,1.0,29.0,0.0,0.0,671.0,3346.0,33.0,78.0,531.0,1.0,61.0,55.0,96.0,3,2,5,False,skill_run,False,False,False,False,67.34,0,0,True,102.73691131749818,74.75,5.495,30.34152749108651,1.1501474029961913,0.5708726463391209,0.32245283122635104,-0.9255149779652817,-0.08036739439729697,0.7163120217783461,-1.3490450167992212,-0.16500119177329473,0.039675320655455676,-0.40639852188186903,-0.9668460420121027,-0.20763051979255379,4.986587183308495,0.04918032786885246,0.11624441132637854,3877.0,False,False
