pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats
PettAu00,austin-pettis-1,00-0028016,Austin Pettis,WR,2011,3,78,STL,boise st.,75.0,209.0,4.56,33.5,120.0,14.0,6.68,3.88,5.0,6.0,93.0,2.0,0.0,1.0,-11.0,0.0,229.0,2838.0,39.0,8.0,8.0,47.0,0,0,0,False,skill_pass,False,False,False,False
GranRy01,ryan-grant-2,00-0031068,Ryan Grant,WR,2014,5,142,WAS,tulane,72.0,199.0,4.64,35.5,119.0,8.0,6.68,4.11,0.0,2.0,0.0,0.0,1.0,5.0,3.0,0.0,196.0,2769.0,21.0,10.0,7.0,80.0,0,0,1,False,skill_pass,False,False,False,False
MoorD.00,dj-moore-3,00-0034827,D.J. Moore,WR,2018,1,24,CAR,maryland,72.0,210.0,4.42,39.5,132.0,15.0,6.95,4.07,3.0,5.0,36.0,0.0,0.0,17.0,125.0,1.0,146.0,2027.0,17.0,61.0,36.0,131.0,0,0,7,False,skill_pass,False,False,False,False
AbbrJa00,jared-abbrederis-1,00-0031021,Jared Abbrederis,WR,2014,5,176,GNB,wisconsin,73.0,195.0,4.5,30.5,117.0,4.0,6.8,4.08,1.0,1.0,27.0,0.0,0.0,28.0,291.0,2.0,202.0,3140.0,23.0,1.0,1.0,22.0,0,0,0,False,skill_pass,False,False,False,False
PoseDe00,devier-posey-1,00-0029673,DeVier Posey,WR,2012,3,68,HOU,ohio st.,74.0,211.0,4.39,36.5,123.0,14.0,7.03,4.15,1.0,1.0,39.0,1.0,0.0,3.0,13.0,0.0,136.0,1955.0,18.0,2.0,2.0,26.0,0,0,0,False,skill_pass,False,False,False,False
BrowLe00,levi-brown-1,00-0027804,Levi Brown,QB,2010,7,209,BUF,troy,75.0,229.0,4.93,31.5,106.0,20.0,7.07,4.43,522.0,830.0,6284.0,38.0,12.0,87.0,24.0,1.0,1.0,17.0,0.0,0.0,0.0,1.0,0,0,0,False,skill_pass,False,False,False,False
CampMi02,michael-campanaro-1,00-0031025,Michael Campanaro,WR,2014,7,218,BAL,wake forest,69.0,192.0,4.46,39.0,122.0,20.0,6.77,4.01,6.0,7.0,174.0,4.0,1.0,51.0,238.0,2.0,229.0,2506.0,14.0,4.0,4.0,24.0,0,0,0,False,skill_pass,False,False,False,False
FordIs00,isaiah-ford-1,00-0033471,Isaiah Ford,WR,2017,7,237,MIA,virginia tech,73.0,194.0,4.61,35.5,127.0,14.0,6.94,4.34,2.0,4.0,44.0,0.0,0.0,17.0,84.0,0.0,210.0,2967.0,24.0,5.0,5.0,32.0,0,0,0,False,skill_pass,False,False,False,False
SamuDe00,deebo-samuel-1,00-0035719,Deebo Samuel,WR,2019,2,36,SFO,south carolina,71.0,214.0,4.48,39.0,122.0,15.0,7.03,4.14,2.0,2.0,46.0,2.0,0.0,25.0,154.0,7.0,148.0,2076.0,16.0,52.0,47.0,97.0,1,1,5,False,skill_pass,False,False,False,False
JernJe00,jerrel-jernigan-1,00-0028021,Jerrel Jernigan,WR,2011,3,83,NYG,troy,69.0,185.0,4.46,37.5,124.0,11.0,7.07,4.25,7.0,10.0,43.0,2.0,0.0,132.0,892.0,5.0,262.0,3128.0,18.0,2.0,2.0,34.0,0,0,0,False,skill_pass,False,False,False,False
