pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats
MathRy00,ryan-mathews-1,00-0027864,Ryan Mathews,RB,2010,1,12,SDG,fresno st.,72.0,218.0,4.37,36.0,121.0,19.0,7.0,4.33,0.0,1.0,0.0,0.0,0.0,534.0,3280.0,39.0,19.0,268.0,2.0,44.0,37.0,86.0,1,0,5,False,skill_run,False,False,False,False
AbduAm00,ameer-abdullah-1,00-0032104,Ameer Abdullah,RB,2015,2,54,DET,nebraska,69.0,205.0,4.6,42.5,130.0,24.0,6.79,3.95,0.0,1.0,0.0,0.0,0.0,813.0,4588.0,39.0,73.0,690.0,7.0,22.0,10.0,154.0,0,0,2,False,skill_run,False,False,False,False
WhitJa02,james-white-2,00-0031062,James White,RB,2014,4,130,NWE,wisconsin,69.0,204.0,4.57,32.0,114.0,23.0,7.05,4.2,1.0,2.0,3.0,1.0,0.0,643.0,4015.0,45.0,73.0,670.0,3.0,37.0,37.0,95.0,0,0,0,False,skill_run,False,False,False,False
HardMo00,montario-hardesty-1,00-0027666,Montario Hardesty,RB,2010,2,59,CLE,tennessee,72.0,225.0,4.49,41.0,124.0,21.0,6.87,4.14,0.0,1.0,0.0,0.0,0.0,560.0,2391.0,26.0,38.0,405.0,1.0,4.0,4.0,23.0,0,0,0,False,skill_run,False,False,False,False
GerhTo00,toby-gerhart-1,00-0027888,Toby Gerhart,RB,2010,2,51,MIN,stanford,72.0,231.0,4.5,38.0,118.0,22.0,6.94,4.25,1.0,1.0,18.0,1.0,0.0,671.0,3522.0,43.0,39.0,395.0,0.0,16.0,13.0,82.0,0,0,0,False,skill_run,False,False,False,False
VereSh00,shane-vereen-1,00-0027994,Shane Vereen,RB,2011,2,56,NWE,california,70.0,210.0,4.49,34.0,115.0,31.0,6.95,4.28,0.0,3.0,0.0,0.0,0.0,556.0,2834.0,29.0,74.0,674.0,6.0,25.0,16.0,79.0,0,0,1,False,skill_run,False,False,False,False
BallMo00,montee-ball-1,00-0030522,Montee Ball,RB,2013,2,58,DEN,wisconsin,70.0,214.0,4.66,32.0,118.0,15.0,6.88,4.4,2.0,2.0,57.0,1.0,0.0,924.0,5140.0,77.0,59.0,598.0,6.0,7.0,7.0,21.0,0,0,0,False,skill_run,False,False,False,False
SimsCh00,charles-sims-1,00-0031390,Charles Sims,RB,2014,3,69,TAM,west virginia,72.0,214.0,4.48,37.5,126.0,17.0,7.16,4.3,0.0,1.0,0.0,0.0,0.0,592.0,3465.0,40.0,203.0,2108.0,11.0,13.0,13.0,47.0,0,0,0,False,skill_run,False,False,False,False
FreeRo00,royce-freeman-1,00-0034838,Royce Freeman,RB,2018,3,71,DEN,oregon,71.0,229.0,4.54,34.0,118.0,17.0,6.9,4.16,1.0,1.0,26.0,1.0,0.0,947.0,5621.0,60.0,79.0,814.0,4.0,13.0,9.0,79.0,0,0,0,False,skill_run,False,False,False,False
BellLe00,leveon-bell-1,00-0030496,Le'Veon Bell,RB,2013,2,48,PIT,michigan st.,73.0,230.0,4.6,31.5,118.0,24.0,6.75,4.24,1.0,1.0,29.0,0.0,0.0,671.0,3346.0,33.0,78.0,531.0,1.0,61.0,55.0,96.0,3,2,5,False,skill_run,False,False,False,False
McGuEl00,elijah-mcguire-1,00-0033295,Elijah McGuire,RB,2017,6,188,NYJ,louisiana,70.0,214.0,4.53,36.0,120.0,15.0,7.26,4.56,0.0,3.0,0.0,0.0,0.0,711.0,4312.0,42.0,129.0,1383.0,10.0,6.0,6.0,24.0,0,0,0,False,skill_run,False,False,False,False
McCaCh01,christian-mccaffrey-1,00-0033280,Christian McCaffrey,RB,2017,1,8,CAR,stanford,71.0,202.0,4.48,37.5,121.0,10.0,6.57,4.22,2.0,3.0,39.0,2.0,0.0,632.0,3922.0,21.0,99.0,1206.0,10.0,86.0,43.0,112.0,4,3,5,False,skill_run,False,False,False,False
