pfr_id,cfb_id,gsis_id,player_name,position,draft_year,projected_draft_pick,projected_contract_value,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,_raw_height,Hand Size,Arm Length,Wingspan,10 Yard Split,10 Yard Split,_raw_broad,10 Yard Split,10 Yard Split
,,,Chase Bisontis,G,2026,64,7400000,2,64,,texas a&m,77.25,315,5.02,32.0,105.0,29.0,7.53,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6052,968,3368,7818,,,809,,
,,,Kyle Louis,LB,2026,111,5980000,4,111,,pittsburgh,72.0,220,4.53,39.5,129.0,,6.97,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,948,3128,,1.58,1.58,10'9,1.58,1.58
,,,Germie Bernard,WR,2026,33,14154286,2,33,,alabama,73.25,206,4.48,32.5,125.0,,6.71,4.31,3.0,3.0,29.0,0.0,0.0,36.0,184.0,5.0,155.0,2203.0,13.0,,,,,,,,,,,,,,,,,,,,,6012,978,3038,7418,,,1005,,
,,,Jack Kelly,LB,2026,198,4900000,6,198,,byu,74.0,240,4.57,37.0,125.0,,7.12,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6020,918,3118,,1.61,1.61,10'5,1.61,1.61
,,,Fernando Carmona,G,2026,164,5060000,5,164,,arkansas,77.0,316,5.22,,103.0,26.0,7.5,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,948,3218,,,,807,,
,,,Emmett Johnson,RB,2026,189,4900000,6,189,,nebraska,70.25,202,4.56,,120.0,16.0,7.32,4.29,,,,,,458.0,2460.0,15.0,91.0,689.0,5.0,,,,,,,,,,,,,,,,,,,,,5102,968,3028,7438,,,1000,,
,,,Julian Neal,CB,2026,121,5780000,4,121,,arkansas,74.0,203,4.49,40.0,134.0,,7.13,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6020,948,3268,,,,1102,,
,,,Bryce Lance,WR,2026,110,6000000,4,110,,north dakota state,75.0,204,4.34,41.5,133.0,,7.0,4.15,,,,,,9.0,121.0,2.0,127.0,2140.0,25.0,,,,,,,,,,,,,,,,,,,,,6030,928,3218,,,,1101,,
,,,Parker Brailsford,G,2026,155,5150000,5,155,,alabama,74.0,289,4.95,32.5,116.0,27.0,,4.72,,,,,,,,,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,6020,948,3200,,,,908,,
,,,Logan Jones,G,2026,72,7130769,3,72,,iowa,75.0,299,4.9,31.0,110.0,,7.46,4.59,,,,,,2.0,5.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,6030,948,3068,,,,902,,
,,,Malachi Fields,WR,2026,53,9700000,2,53,,notre dame,76.5,218,4.61,38.0,124.0,,6.98,4.35,2.0,3.0,51.0,0.0,0.0,1.0,-6.0,0.0,165.0,2479.0,16.0,,,,,,,,,,,,,,,,,,,,,6044,900,3218,7900,,,1004,,
,,,Jacob Rodriguez,LB,2026,51,10200000,2,51,,texas tech,73.375,231,4.57,38.5,121.0,,6.9,4.19,0.0,1.0,0.0,0.0,1.0,12.0,59.0,2.0,9.0,80.0,0.0,,,,,,,,,,,,,,,,,,,,,6013,928,3078,,1.6,1.6,10'1,1.6,1.6
,,,Spencer Fano,G,2026,9,28509000,1,9,,utah,77.5,311,4.91,32.0,111.0,,7.34,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6054,900,3218,8028,,,903,,
,,,Sonny Styles,LB,2026,5,37973846,1,5,,ohio state,77.0,244,4.46,43.5,134.0,,7.09,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,1000,3278,8078,1.56,1.56,11'2,1.56,1.56
,,,Antonio Williams,WR,2026,62,7800000,2,62,,clemson,71.5,187,4.41,39.5,124.0,10.0,7.0,,4.0,4.0,143.0,2.0,0.0,26.0,193.0,2.0,205.0,2312.0,21.0,,,,,,,,,,,,,,,,,,,,,5114,928,3068,7600,,,1004,,
,,,Adam Randall,RB,2026,150,5200000,5,150,,clemson,75.375,232,4.5,37.0,124.0,26.0,,4.53,,,,,,173.0,858.0,10.0,84.0,787.0,5.0,,,,,,,,,,,,,,,,,,,,,6033,968,3238,7968,,,1004,,
,,,Sam Roush,TE,2026,149,5220000,5,149,,stanford,78.0,267,4.7,38.5,126.0,,7.08,4.37,,,,,,1.0,1.0,0.0,119.0,1201.0,4.0,,,,,,,,,,,,,,,,,,,,,6060,1000,3058,7638,,,1006,,
