pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof
PerrMa00,malcolm-perry-1,00-0036245,Malcolm Perry,RB,2020,7,246,MIA,navy,69.0,186.0,4.63,36.0,122.0,10.0,7.12,4.31,58.0,112.0,1311.0,10.0,5.0,614.0,4359.0,40.0,22.0,470.0,3.0,,,,,,,,,,,,,,1.0,1.0,9.0,0,0,0,False
PettAu00,austin-pettis-1,00-0028016,Austin Pettis,WR,2011,3,78,STL,boise st.,75.0,209.0,4.56,33.5,120.0,14.0,6.68,3.88,5.0,6.0,93.0,2.0,0.0,1.0,-11.0,0.0,229.0,2838.0,39.0,,,,,,,,,,,,,,8.0,8.0,47.0,0,0,0,False
MathRy00,ryan-mathews-1,00-0027864,Ryan Mathews,RB,2010,1,12,SDG,fresno st.,72.0,218.0,4.37,36.0,121.0,19.0,7.0,4.33,0.0,1.0,0.0,0.0,0.0,534.0,3280.0,39.0,19.0,268.0,2.0,,,,,,,,,,,,,,44.0,37.0,86.0,1,0,5,False
GranRy01,ryan-grant-2,00-0031068,Ryan Grant,WR,2014,5,142,WAS,tulane,72.0,199.0,4.64,35.5,119.0,8.0,6.68,4.11,0.0,2.0,0.0,0.0,1.0,5.0,3.0,0.0,196.0,2769.0,21.0,,,,,,,,,,,,,,10.0,7.0,80.0,0,0,1,False
MoorD.00,dj-moore-3,00-0034827,D.J. Moore,WR,2018,1,24,CAR,maryland,72.0,210.0,4.42,39.5,132.0,15.0,6.95,4.07,3.0,5.0,36.0,0.0,0.0,17.0,125.0,1.0,146.0,2027.0,17.0,,,,,,,,,,,,,,61.0,36.0,131.0,0,0,7,False
BerrEr99,eric-berry-1,00-0027858,Eric Berry,CB,2010,1,5,KAN,tennessee,72.0,211.0,4.4,43.0,130.0,19.0,6.8,4.23,1.0,2.0,9.0,0.0,1.0,7.0,37.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,50.0,50.0,89.0,5,3,5,False
AbbrJa00,jared-abbrederis-1,00-0031021,Jared Abbrederis,WR,2014,5,176,GNB,wisconsin,73.0,195.0,4.5,30.5,117.0,4.0,6.8,4.08,1.0,1.0,27.0,0.0,0.0,28.0,291.0,2.0,202.0,3140.0,23.0,,,,,,,,,,,,,,1.0,1.0,22.0,0,0,0,False
HerbKh00,khalil-herbert-1,00-0036906,Khalil Herbert,RB,2021,6,217,CHI,virginia tech,68.0,210.0,4.46,33.0,115.0,22.0,6.96,4.31,0.0,1.0,0.0,0.0,0.0,475.0,2918.0,22.0,33.0,293.0,1.0,,,,,,,,,,,,,,13.0,12.0,63.0,0,0,1,False
PoseDe00,devier-posey-1,00-0029673,DeVier Posey,WR,2012,3,68,HOU,ohio st.,74.0,211.0,4.39,36.5,123.0,14.0,7.03,4.15,1.0,1.0,39.0,1.0,0.0,3.0,13.0,0.0,136.0,1955.0,18.0,,,,,,,,,,,,,,2.0,2.0,26.0,0,0,0,False
BrowLe00,levi-brown-1,00-0027804,Levi Brown,QB,2010,7,209,BUF,troy,75.0,229.0,4.93,31.5,106.0,20.0,7.07,4.43,522.0,830.0,6284.0,38.0,12.0,87.0,24.0,1.0,1.0,17.0,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0,0,0,False
