pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,is_QB,is_WR,is_TE,dominator_rating,yards_per_reception,rec_td_rate,rec_yards_flag,completion_pct,yards_per_attempt,td_int_ratio,pass_yards_flag
PettAu00,austin-pettis-1,00-0028016,Austin Pettis,WR,2011,3,78,STL,boise st.,75.0,209.0,4.56,33.5,120.0,14.0,6.68,3.88,14.0,114.0,2865.0,2.0,0.0,1.0,-11.0,0.0,46496371.0,465567855951.0,691410.0,8.0,8.0,47.0,0,0,0,False,skill_pass,False,False,False,False,49.86,0,0,True,96.67560778935132,76.75,5.279999999999999,26.120355555555555,0.3698495427957216,-0.4271576552958521,-0.273505584381187,-0.23617615978083836,0.2902762330826218,-0.712828513745783,-1.5032241200840075,-2.3140764294452736,-0.069515139185115,0.11585431084539077,-2.0533007793089677,-0.9569872154339643,0,1,0,1.0,10012.993400087073,0.014870192772678969,False,,,,False
SwitRy00,ryan-switzer-1,00-0033562,Ryan Switzer,WR,2017,4,133,DAL,north carolina,68.0,181.0,4.51,32.0,116.0,11.0,6.77,4.0,1110.0,1121.0,5935110.0,1100.0,0.0,10833.0,2929614.0,0.0,32615596.0,3417576971112.0,3466.0,3.0,1.0,41.0,0,0,0,False,skill_pass,False,False,False,False,24.62,0,0,True,87.49886166669992,74.0,5.385,27.517949826989618,-2.4156179709331274,-1.533702469657937,-0.5303068816337965,-0.6530846857354266,-0.2607566161589643,-1.2890595823457054,-1.1135913277511078,-1.5760134588661012,-0.8114265933477524,-0.4260384599970583,-1.4568239925804098,-0.27660494751746756,0,1,0,0.9999991427811243,104783.52047014564,0.00010626817918642357,False,,,,False
CobbRa00,randall-cobb-1,00-0028002,Randall Cobb,WR,2011,2,64,GNB,kentucky,70.0,191.0,4.46,33.5,115.0,16.0,7.08,4.34,5255.0,991310.0,5428958.0,203.0,500.0,799455.0,316573424.0,7105.0,213984.0,1974471017.0,247.0,64.0,56.0,166.0,1,0,5,False,skill_pass,False,False,False,False,57.69,0,0,True,96.54369757544032,74.25,5.71,27.40265306122449,-1.619770109867742,-1.1385078931000496,-0.7871081788864059,-0.23617615978083836,-0.3985148284693608,-0.32867446801250144,0.22847717917332883,0.5151649577748839,-0.08017967074277103,-0.37677548082956297,0.3894136806270252,-0.33273416654626425,0,1,0,0.8618213517229629,9227.189962800958,0.0011542919096754897,False,,,,False
JoneZa00,isaiah-jones-2,00-0033891,Zay Jones,WR,2017,2,37,BUF,east carolina,74.0,201.0,4.45,36.5,133.0,15.0,6.79,4.01,111.0,211.0,342.0,1.0,0.0,14.0,-624.0,0.0,628198156.0,60483010991731.0,5558.0,25.0,8.0,123.0,0,0,3,False,skill_pass,False,False,False,False,74.41,0,0,True,102.51466790929572,84.75,5.4,25.804054054054053,-0.028074387736971164,-0.7433133165421622,-0.8384684383369269,0.597640892128338,2.0811329931177767,-0.5207514908791422,-1.027006262788239,-1.5145082113178383,0.40255475646536804,1.6922696442052427,-1.3716130230477557,-1.1109703401044484,0,1,0,1.0,96280.14729755271,8.847526766697482e-06,False,,,,False
BeckOd00,odell-beckham-jr-1,00-0031235,Odell Beckham Jr.,WR,2014,1,12,NYG,louisiana state,71.0,198.0,4.38,38.5,122.0,7.0,6.69,3.94,0.0,1.0,0.0,0.0,0.0,25.0,1958.0,0.0,414359.0,4757131152.0,228.0,59.0,41.0,119.0,3,0,6,False,skill_pass,False,False,False,False,91.78,1,0,True,107.5966485232503,80.25,5.315,27.612378496330095,-1.2218461793350492,-0.8618716895095284,-1.197990254490583,1.1535189267344557,0.5657926577034149,-2.0573676738122684,-1.4599315876025711,-1.9450449441556874,0.8134171228131482,0.805536019190326,-1.8544751837327766,-0.23063481618866163,0,1,0,0.9999995884075651,11480.699470748796,0.0005502474907025068,False,,,,False
JernJe00,jerrel-jernigan-1,00-0028021,Jerrel Jernigan,WR,2011,3,83,NYG,troy,69.0,185.0,4.46,37.5,124.0,11.0,7.07,4.25,106.0,217.0,2041.0,101.0,0.0,14334045.0,50254266322.0,113.0,30777184.0,3378681101822.0,3546.0,2.0,2.0,34.0,0,0,0,False,skill_pass,False,False,False,False,47.2,0,0,True,93.51091126416995,80.75,5.66,27.31674018063432,-2.0176940404004347,-1.3756246390347822,-0.7871081788864059,0.8755799094313969,0.8413090823242079,-1.2890595823457054,0.18518464669189638,-0.038382270159493886,-0.32537103512030524,0.9040619775253167,0.1053771155181902,-0.37455860854200984,0,1,0,0.9853440613699286,109778.76019527973,0.0001152152191701489,False,,,,False
ElliBr00,bruce-ellington-1,00-0031326,Bruce Ellington,WR,2014,4,106,SFO,south carolina,69.0,197.0,4.45,39.5,120.0,15.0,6.69,3.95,31.0,41.0,279.0,1.0,0.0,1753.0,1062814.0,100.0,174049.0,211600775.0,178.0,7.0,2.0,44.0,0,0,0,False,skill_pass,False,False,False,False,35.91,0,0,True,100.4745750155784,79.75,5.32,29.08863684099979,-2.0176940404004347,-0.9013911471653171,-0.8384684383369269,1.4314579440375144,0.2902762330826218,-0.5207514908791422,-1.4599315876025711,-1.8835396966074216,0.23761957517396512,0.7070100608553352,-1.8260715272218937,0.48804300119133626,0,1,0,0.9950023696816289,1215.7540405288166,0.001022700503881091,False,,,,False
CookBr00,brandin-cooks-1,00-0031236,Brandin Cooks,WR,2014,1,20,NOR,oregon st.,70.0,189.0,4.33,36.0,120.0,16.0,6.76,3.81,0.0,1.0,0.0,0.0,0.0,101932.0,4182217.0,2.0,3167128.0,39111511730.0,3516.0,73.0,21.0,173.0,0,0,10,False,skill_pass,False,False,False,False,86.02,1,0,True,107.53261679026669,78.0,5.285,27.115714285714287,-1.619770109867742,-1.2175468084116272,-1.4547915517431924,0.45867138347680864,0.2902762330826218,-0.32867446801250144,-1.1568838602325402,-2.7446131622831227,0.8082403558528897,0.3621692066828676,-2.02489712279808,-0.4724228149796134,0,1,0,0.9998930808435696,12349.204620084822,0.0011101540575562466,False,,,,False
WatkSa00,sammy-watkins-1,00-0031325,Sammy Watkins,WR,2014,1,4,BUF,clemson,73.0,211.0,4.43,34.0,126.0,16.0,6.95,4.34,110.0,122.0,9520.0,10.0,1.0,32146.0,2319711.0,10.0,8257101.0,12197081464.0,12312.0,43.0,20.0,111.0,0,0,6,False,skill_pass,False,False,False,False,97.72,1,0,True,109.57148461547366,80.0,5.645,27.835053480953274,-0.4259983182696639,-0.3481187399842746,-0.9411889572379735,-0.09720665112930897,1.116825506945001,-0.32867446801250144,-0.33432574308530455,0.5151649577748839,0.973076494155872,0.7562730400228306,0.020166145985536173,-0.12223131587184066,0,1,0,0.9998098504207933,1477.1626826412805,0.001491080222949919,False,,,,False
WescTr00,trevon-wesco-1,00-0035259,Trevon Wesco,TE,2019,4,121,NYJ,west virginia,75.0,267.0,4.89,31.0,117.0,24.0,7.18,4.38,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1126.0,61366.0,101.0,0.0,0.0,69.0,0,0,1,False,skill_pass,False,False,False,False,29.37,0,0,True,93.39117091991041,74.0,5.779999999999999,33.36906666666667,0.3698495427957216,1.8649708887398957,1.4213829774860418,-0.9310237030384854,-0.12299840384856776,1.2079417149206249,0.661402503987661,0.7611859479679413,-0.3350516704723338,-0.4260384599970583,0.7870648717793921,2.571858463211171,0,0,1,0.9999511153839886,54.49911190053286,0.08969804618117229,False,,,,False
