pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats
PettAu00,austin-pettis-1,00-0028016,Austin Pettis,WR,2011,3,78,STL,boise st.,75.0,209.0,4.56,33.5,120.0,14.0,6.68,3.88,14.0,114.0,2865.0,2.0,0.0,1.0,-11.0,0.0,46496371.0,465567855951.0,691410.0,8.0,8.0,47.0,0,0,0,False,skill_pass,False,False,False,False
SwitRy00,ryan-switzer-1,00-0033562,Ryan Switzer,WR,2017,4,133,DAL,north carolina,68.0,181.0,4.51,32.0,116.0,11.0,6.77,4.0,1110.0,1121.0,5935110.0,1100.0,0.0,10833.0,2929614.0,0.0,32615596.0,3417576971112.0,3466.0,3.0,1.0,41.0,0,0,0,False,skill_pass,False,False,False,False
CobbRa00,randall-cobb-1,00-0028002,Randall Cobb,WR,2011,2,64,GNB,kentucky,70.0,191.0,4.46,33.5,115.0,16.0,7.08,4.34,5255.0,991310.0,5428958.0,203.0,500.0,799455.0,316573424.0,7105.0,213984.0,1974471017.0,247.0,64.0,56.0,166.0,1,0,5,False,skill_pass,False,False,False,False
JoneZa00,isaiah-jones-2,00-0033891,Zay Jones,WR,2017,2,37,BUF,east carolina,74.0,201.0,4.45,36.5,133.0,15.0,6.79,4.01,111.0,211.0,342.0,1.0,0.0,14.0,-624.0,0.0,628198156.0,60483010991731.0,5558.0,25.0,8.0,123.0,0,0,3,False,skill_pass,False,False,False,False
BeckOd00,odell-beckham-jr-1,00-0031235,Odell Beckham Jr.,WR,2014,1,12,NYG,louisiana state,71.0,198.0,4.38,38.5,122.0,7.0,6.69,3.94,0.0,1.0,0.0,0.0,0.0,25.0,1958.0,0.0,414359.0,4757131152.0,228.0,59.0,41.0,119.0,3,0,6,False,skill_pass,False,False,False,False
JernJe00,jerrel-jernigan-1,00-0028021,Jerrel Jernigan,WR,2011,3,83,NYG,troy,69.0,185.0,4.46,37.5,124.0,11.0,7.07,4.25,106.0,217.0,2041.0,101.0,0.0,14334045.0,50254266322.0,113.0,30777184.0,3378681101822.0,3546.0,2.0,2.0,34.0,0,0,0,False,skill_pass,False,False,False,False
ElliBr00,bruce-ellington-1,00-0031326,Bruce Ellington,WR,2014,4,106,SFO,south carolina,69.0,197.0,4.45,39.5,120.0,15.0,6.69,3.95,31.0,41.0,279.0,1.0,0.0,1753.0,1062814.0,100.0,174049.0,211600775.0,178.0,7.0,2.0,44.0,0,0,0,False,skill_pass,False,False,False,False
CookBr00,brandin-cooks-1,00-0031236,Brandin Cooks,WR,2014,1,20,NOR,oregon st.,70.0,189.0,4.33,36.0,120.0,16.0,6.76,3.81,0.0,1.0,0.0,0.0,0.0,101932.0,4182217.0,2.0,3167128.0,39111511730.0,3516.0,73.0,21.0,173.0,0,0,10,False,skill_pass,False,False,False,False
WatkSa00,sammy-watkins-1,00-0031325,Sammy Watkins,WR,2014,1,4,BUF,clemson,73.0,211.0,4.43,34.0,126.0,16.0,6.95,4.34,110.0,122.0,9520.0,10.0,1.0,32146.0,2319711.0,10.0,8257101.0,12197081464.0,12312.0,43.0,20.0,111.0,0,0,6,False,skill_pass,False,False,False,False
WescTr00,trevon-wesco-1,00-0035259,Trevon Wesco,TE,2019,4,121,NYJ,west virginia,75.0,267.0,4.89,31.0,117.0,24.0,7.18,4.38,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1126.0,61366.0,101.0,0.0,0.0,69.0,0,0,1,False,skill_pass,False,False,False,False
ArchDr00,dri-archer-1,00-0031392,Dri Archer,WR,2014,3,97,PIT,kent st.,68.0,173.0,4.26,38.0,122.0,20.0,6.86,4.06,1.0,1.0,24.0,1.0,0.0,584015968.0,2461401429527.0,11166.0,19163925.0,23175561327.0,3144.0,0.0,0.0,20.0,0,0,0,False,skill_pass,False,False,False,False
PricTa00,taylor-price-1,00-0027693,Taylor Price,WR,2010,3,90,NWE,ohio,72.0,204.0,4.4,37.0,114.0,16.0,6.82,4.34,201.0,1211.0,50029.0,101.0,0.0,26510.0,-20231994.0,0.0,9335156.0,77464694784.0,455.0,1.0,1.0,6.0,0,0,0,False,skill_pass,False,False,False,False
BellBl00,blake-bell-1,00-0032062,Blake Bell,TE,2015,4,117,SFO,oklahoma,78.0,252.0,4.8,33.0,116.0,14.0,6.85,4.32,19140.0,416233.0,81071648.0,12.0,105.0,4460752.0,1712012554.0,131100.0,16.0,214.0,4.0,5.0,2.0,117.0,0,0,1,False,skill_pass,False,False,False,False
DickEd00,ed-dickson-1,00-0027675,Ed Dickson,TE,2010,3,70,BAL,oregon,76.0,249.0,4.59,34.0,115.0,23.0,7.32,4.59,0.0,1.0,0.0,0.0,0.0,23.0,1018.0,0.0,4433542.0,45453508551.0,336.0,16.0,9.0,134.0,0,0,7,False,skill_pass,False,False,False,False
